"ciudad","periodo","año","mes","orden","semestre","apertura","rubro","mediana","mediapodada","cantidad_precios","ponderadorImplicito","variacion","incidencia","variacion_anual","incidencia_anual"
"Conurbano","2012-10",2012,10,130,"2012-IIS","Almacén-SinHarina","Almacén",140.62,139.05,4121,0.26,0.28,0.07,31.95,8.59
"Conurbano","2012-10",2012,10,200,"2012-IIS","Verdulería","Verdulería",104.38,104.74,1497,0.19,4.74,0.89,76.13,11.38
"Conurbano","2012-10",2012,10,300,"2012-IIS","Carnicería","Carnicería",190.17,189.64,1026,0.35,-1.72,-0.63,23.55,9.14
"Mar del Plata","2012-10",2012,10,1,"2012-IIS","CBA","total",477.93,481.27,5302,1.00,0.69,0.69,,
"Mar del Plata","2012-10",2012,10,100,"2012-IIS","Almacén","Almacén",204.51,207.35,3784,0.42,5.12,2.10,,
"Mar del Plata","2012-10",2012,10,120,"2012-IIS","Almacén-ConHarina","Almacén",76.53,79.11,708,0.16,4.89,0.75,,
"Mar del Plata","2012-10",2012,10,130,"2012-IIS","Almacén-SinHarina","Almacén",127.97,128.24,3076,0.26,5.26,1.34,,
"Mar del Plata","2012-10",2012,10,200,"2012-IIS","Verdulería","Verdulería",95.19,96.23,991,0.19,0.89,0.17,,
"Mar del Plata","2012-10",2012,10,300,"2012-IIS","Carnicería","Carnicería",178.22,177.68,527,0.37,-4.05,-1.58,,
"Salta","2012-10",2012,10,1,"2012-IIS","CBA","total",490.59,490.69,4724,1.00,1.55,1.55,,
"Salta","2012-10",2012,10,100,"2012-IIS","Almacén","Almacén",196.59,197.53,3739,0.40,1.20,0.48,,
"Salta","2012-10",2012,10,120,"2012-IIS","Almacén-ConHarina","Almacén",79.35,79.21,681,0.16,-0.25,-0.04,,
"Salta","2012-10",2012,10,130,"2012-IIS","Almacén-SinHarina","Almacén",117.24,118.31,3058,0.23,2.21,0.52,,
"Salta","2012-10",2012,10,200,"2012-IIS","Verdulería","Verdulería",89.44,87.66,668,0.18,5.60,0.98,,
"Salta","2012-10",2012,10,300,"2012-IIS","Carnicería","Carnicería",204.55,205.50,317,0.41,0.21,0.08,,
"Tucuman","2012-10",2012,10,1,"2012-IIS","CBA","total",498.44,500.71,4024,1.00,0.89,0.89,,
"Tucuman","2012-10",2012,10,100,"2012-IIS","Almacén","Almacén",210.76,214.52,2548,0.42,3.72,1.53,,
"Tucuman","2012-10",2012,10,120,"2012-IIS","Almacén-ConHarina","Almacén",77.39,78.87,460,0.15,2.12,0.32,,
"Tucuman","2012-10",2012,10,130,"2012-IIS","Almacén-SinHarina","Almacén",133.36,135.64,2088,0.26,4.68,1.20,,
"Tucuman","2012-10",2012,10,200,"2012-IIS","Verdulería","Verdulería",96.16,95.67,929,0.19,-4.77,-0.97,,
"Tucuman","2012-10",2012,10,300,"2012-IIS","Carnicería","Carnicería",191.50,190.51,547,0.38,0.86,0.33,,
"Chaco","2012-11",2012,11,1,"2012-IIS","CBA","total",495.76,495.70,4862,1.00,4.11,4.11,,
"Chaco","2012-11",2012,11,100,"2012-IIS","Almacén","Almacén",210.58,212.88,3165,0.42,0.83,0.36,,
"Chaco","2012-11",2012,11,120,"2012-IIS","Almacén-ConHarina","Almacén",71.13,72.93,582,0.14,-0.52,-0.07,,
"Chaco","2012-11",2012,11,130,"2012-IIS","Almacén-SinHarina","Almacén",139.45,139.94,2583,0.28,1.54,0.44,,
"Chaco","2012-11",2012,11,200,"2012-IIS","Verdulería","Verdulería",109.03,108.94,1000,0.21,15.36,3.05,,
"Chaco","2012-11",2012,11,300,"2012-IIS","Carnicería","Carnicería",176.14,173.87,697,0.35,1.92,0.69,,
"Conurbano","2012-11",2012,11,1,"2012-IIS","CBA","total",541.91,541.93,7179,1.00,2.16,2.16,34.40,34.40
"Conurbano","2012-11",2012,11,100,"2012-IIS","Almacén","Almacén",232.76,235.31,4742,0.42,-1.31,-0.58,31.39,13.79
"Conurbano","2012-11",2012,11,120,"2012-IIS","Almacén-ConHarina","Almacén",86.61,90.11,763,0.15,-9.05,-1.62,22.46,3.94
"Conurbano","2012-11",2012,11,130,"2012-IIS","Almacén-SinHarina","Almacén",146.14,145.20,3979,0.26,3.92,1.03,37.32,9.85
"Conurbano","2012-11",2012,11,200,"2012-IIS","Verdulería","Verdulería",116.34,115.33,1409,0.21,11.45,2.25,80.09,12.83
"Conurbano","2012-11",2012,11,300,"2012-IIS","Carnicería","Carnicería",192.80,191.28,1028,0.35,1.38,0.49,19.41,7.77
"Mar del Plata","2012-11",2012,11,1,"2012-IIS","CBA","total",499.10,498.56,5387,1.00,4.42,4.42,,
"Mar del Plata","2012-11",2012,11,100,"2012-IIS","Almacén","Almacén",211.67,213.25,3789,0.42,3.50,1.49,,
"Mar del Plata","2012-11",2012,11,120,"2012-IIS","Almacén-ConHarina","Almacén",79.72,80.23,712,0.15,4.16,0.66,,
"Mar del Plata","2012-11",2012,11,130,"2012-IIS","Almacén-SinHarina","Almacén",131.95,133.02,3077,0.26,3.10,0.83,,
"Mar del Plata","2012-11",2012,11,200,"2012-IIS","Verdulería","Verdulería",106.50,106.43,1035,0.21,11.87,2.36,,
"Mar del Plata","2012-11",2012,11,300,"2012-IIS","Carnicería","Carnicería",180.92,178.87,563,0.36,1.51,0.56,,
"Salta","2012-11",2012,11,1,"2012-IIS","CBA","total",503.17,508.55,5101,1.00,2.56,2.56,,
"Salta","2012-11",2012,11,100,"2012-IIS","Almacén","Almacén",200.81,205.69,4015,0.39,2.14,0.86,,
"Salta","2012-11",2012,11,120,"2012-IIS","Almacén-ConHarina","Almacén",79.71,83.13,712,0.15,0.45,0.07,,
"Salta","2012-11",2012,11,130,"2012-IIS","Almacén-SinHarina","Almacén",121.10,122.55,3303,0.24,3.29,0.78,,
"Salta","2012-11",2012,11,200,"2012-IIS","Verdulería","Verdulería",93.09,94.23,749,0.18,4.08,0.74,,
"Salta","2012-11",2012,11,300,"2012-IIS","Carnicería","Carnicería",209.26,208.63,337,0.41,2.29,0.95,,
"Tucuman","2012-11",2012,11,1,"2012-IIS","CBA","total",496.90,499.37,4330,1.00,-0.30,-0.30,,
"Tucuman","2012-11",2012,11,100,"2012-IIS","Almacén","Almacén",217.30,216.19,2770,0.43,3.10,1.31,,
"Tucuman","2012-11",2012,11,120,"2012-IIS","Almacén-ConHarina","Almacén",80.64,79.39,506,0.16,4.19,0.65,,
